#vn In(Murca)_with_SF(n)
0.0 1.0391182623476212
0.5 0.9088959440219707
1.0 0.6254529184829726
1.5 0.36013267770448515
2.0 0.1848285308359722
2.5 0.08862640405147783
3.0 0.04088598306551843
3.5 0.018501957750732292
4.0 0.008316924809608323
4.5 0.0037383912979266705
5.0 0.0016857064638414777
5.5 0.0007633563409847391
6.0 0.0003469134989462054
6.5 0.00015798560279027435
7.0 7.200845443721086e-5
7.5 3.28139112275941e-5
8.0 1.4935585682043118e-5
8.5 6.78558312911953e-6
9.0 3.0759019146062677e-6
9.5 1.3906843053226486e-6
10.0 6.268760991841813e-7
