#vn vp In(Murca)_with_SF(np)
0.0 0.0 1.0391182623476212
0.0 0.5 1.0159842903970908
0.0 1.0 0.9517800328656217
0.0 1.5 0.8592892253268608
0.0 2.0 0.7530880289342022
0.0 2.5 0.6451148704967703
0.0 3.0 0.5431582752942318
0.0 3.5 0.4513274050942503
0.0 4.0 0.37117449100264643
0.0 4.5 0.3027065442810841
0.0 5.0 0.24510103017157647
0.0 5.5 0.19717931997973773
0.0 6.0 0.15768249054961095
0.0 6.5 0.12539347382856164
0.0 7.0 0.09918398431291887
0.0 7.5 0.07804185340327646
0.0 8.0 0.0610860287557848
0.0 8.5 0.04756601413193948
0.0 9.0 0.036850354674386486
0.0 9.5 0.02840902912216896
0.0 10.0 0.021796543154873928
0.5 0.0 0.9088959440219707
0.5 0.5 0.8883759071571925
0.5 1.0 0.8315120672255218
0.5 1.5 0.749782335364189
0.5 2.0 0.6561352538439689
0.5 2.5 0.5610793868017095
0.5 3.0 0.47147531886501204
0.5 3.5 0.3909824781214188
0.5 4.0 0.3209704109526324
0.5 4.5 0.2613692390936924
0.5 5.0 0.21135150728119592
0.5 5.5 0.16981661750418325
0.5 6.0 0.13564832390117548
0.5 6.5 0.10778863273081253
0.5 7.0 0.0852422195562818
0.5 7.5 0.06709509715813591
0.5 8.0 0.05255007679194397
0.5 8.5 0.04094552674327566
0.5 9.0 0.03174217441303225
0.5 9.5 0.024492133285507842
0.5 10.0 0.018814280497390385
1.0 0.0 0.6254529184829726
1.0 0.5 0.6109456336635999
1.0 1.0 0.5708202630669158
1.0 1.5 0.5133633171943998
1.0 2.0 0.44786882577703957
1.0 2.5 0.38177565073198105
1.0 3.0 0.3198139269308606
1.0 3.5 0.2643974776455405
1.0 4.0 0.2163511614740342
1.0 4.5 0.17555479242130637
1.0 5.0 0.14141914569552896
1.0 5.5 0.11319237205418932
1.0 6.0 0.09010595836674139
1.0 6.5 0.07141202589844411
1.0 7.0 0.05639169655150675
1.0 7.5 0.04437946926782582
1.0 8.0 0.034795916750652675
1.0 8.5 0.0271652992536508
1.0 9.0 0.02110955333884573
1.0 9.5 0.016326820289462692
1.0 10.0 0.012569528296418902
1.5 0.0 0.36013267770448515
1.5 0.5 0.35169803219554113
1.5 1.0 0.3283525996885185
1.5 1.5 0.2949032475805389
1.5 2.0 0.25678751457365834
1.5 2.5 0.21837689562485557
1.5 3.0 0.18243144079444765
1.5 3.5 0.15033190572796334
1.5 4.0 0.12254305491703679
1.5 4.5 0.09900874144589508
1.5 5.0 0.07941036863381729
1.5 5.5 0.06331532554851768
1.5 6.0 0.05025335174108105
1.5 6.5 0.03975394457555722
1.5 7.0 0.031370316994512315
