#vp In(Murca)_with_SF(n)
0.0 1.020151968490981
0.5 0.9763636605809608
1.0 0.8655351401657159
1.5 0.7268985866739348
2.0 0.589721648881539
2.5 0.46811514844017066
3.0 0.36636555085807204
3.5 0.28399062489522026
4.0 0.21863669401833558
4.5 0.16745794693633942
5.0 0.127732863546128
5.5 0.09709458841946013
6.0 0.07357924917740596
6.5 0.05560124371012115
7.0 0.04190074005444607
7.5 0.03148892567764977
8.0 0.023597300679878364
8.5 0.017632149091852737
9.0 0.013136110505815268
9.5 0.009757154444667104
10.0 0.007224708712786148
