#vn vp In(Murca)_with_SF(np)
0.0 0.0 1.0021492866978023
0.0 0.5 0.9365492806161023
0.0 1.0 0.7683478147835165
0.0 1.5 0.5612681386765556
0.0 2.0 0.37222902879535336
0.0 2.5 0.22904869468221262
0.0 3.0 0.1334865377667178
0.0 3.5 0.07477070418110615
0.0 4.0 0.04065042205682119
0.0 4.5 0.02162343004286235
0.0 5.0 0.011334966883553428
0.0 5.5 0.005886283386880781
0.0 6.0 0.003035405752778011
0.0 6.5 0.0015531692121160618
0.0 7.0 0.0007877940985281688
0.0 7.5 0.0003960993177914365
0.0 8.0 0.0001973884250010562
0.0 8.5 9.749999904572811e-5
0.0 9.0 4.7765541257991735e-5
0.0 9.5 2.322545007413065e-5
0.0 10.0 1.1213331154642644e-5
0.5 0.0 0.958762801981542
0.5 0.5 0.8957227980109861
0.5 1.0 0.7342142786499767
0.5 1.5 0.5358426515864874
0.5 2.0 0.35521558154654753
0.5 2.5 0.21860476684871147
0.5 3.0 0.1272565330353474
0.5 3.5 0.07112140354250317
0.5 4.0 0.03862900734548004
0.5 4.5 0.020549188998376437
0.5 5.0 0.010761086513850018
0.5 5.5 0.005577619234655924
0.5 6.0 0.00287139131369125
0.5 6.5 0.001468391779074937
0.5 7.0 0.0007454406234409641
0.5 7.5 0.0003755916566306057
0.5 8.0 0.00018766811365821386
0.5 8.5 9.293367946546794e-5
0.5 9.0 4.561814483145636e-5
0.5 9.5 2.2207530467823533e-5
0.5 10.0 1.0724090092556751e-5
1.0 0.0 0.8490484131270795
1.0 0.5 0.7926121829693863
1.0 1.0 0.6483872357309826
1.0 1.5 0.47208041876942475
1.0 2.0 0.31255693323905975
1.0 2.5 0.19229061685454493
1.0 3.0 0.111597754779304
1.0 3.5 0.062017723995937905
1.0 4.0 0.033567624306588384
1.0 4.5 0.01783796595485073
1.0 5.0 0.009317320054909064
1.0 5.5 0.004809033363920651
1.0 6.0 0.002467508382983884
1.0 6.5 0.001260853515124512
1.0 7.0 0.0006413528680233534
1.0 7.5 0.0003245368469896177
1.0 8.0 0.0001630774388002034
1.0 8.5 8.123345857060244e-5
1.0 9.0 4.007699485435524e-5
1.0 9.5 1.957461115454588e-5
1.0 10.0 9.461590340811088e-6
1.5 0.0 0.7120153532484164
1.5 0.5 0.6639992821645286
1.5 1.0 0.5418363337858951
1.5 1.5 0.3933944254664456
1.5 2.0 0.2599953143453692
1.5 2.5 0.15966797882763586
1.5 3.0 0.0922668935862766
1.5 3.5 0.05092577402078492
1.5 4.0 0.027396501373738377
1.5 4.5 0.014507353238692039
1.5 5.0 0.007553697564606722
1.5 5.5 0.0038827871634788814
1.5 6.0 0.001986237458592944
1.5 6.5 0.0010145216113665238
1.5 7.0 0.0005170445410031951
1.5 7.5 0.00026261993436978593
1.5 8.0 0.0001326499115139237
1.5 8.5 6.646868093877518e-5
1.5 9.0 3.2978892883495095e-5
1.5 9.5 1.6177908483490782e-5
1.5 10.0 7.838242924416499e-6
2.0 0.0 0.5766785928432745
2.0 0.5 0.5371481456384288
2.0 1.0 0.43715326307582425
2.0 1.5 0.31656526673521
2.0 2.0 0.20876126991105198
2.0 2.5 0.12777452832843483
2.0 3.0 0.07348852993135978
2.0 3.5 0.04031746621098404
2.0 4.0 0.021535640611641364
2.0 4.5 0.011341271484025637
2.0 5.0 0.0058866407749228215
2.0 5.5 0.0030165230786291723
2.0 6.0 0.0015385622449852216
2.0 6.5 0.00078494459803177
2.0 7.0 0.00040030496040974135
2.0 7.5 0.00020374202384153527
2.0 8.0 0.00010323766007138632
2.0 8.5 5.193312092590597e-5
2.0 9.0 2.5875771242918313e-5
2.0 9.5 1.274671489151761e-5
2.0 10.0 6.200663636703974e-6
2.5 0.0 0.4569424530778872
2.5 0.5 0.4251156065730098
2.5 1.0 0.34505638793360116
2.5 1.5 0.2492329943606472
2.5 2.0 0.16391162947343207
2.5 2.5 0.09991423901909187
2.5 3.0 0.05722568008588214
2.5 3.5 0.0312678096877159
2.5 4.0 0.016600650098272853
2.5 4.5 0.008689098818839069
2.5 5.0 0.0044951155817040045
2.5 5.5 0.0022977273298401993
2.5 6.0 0.001167875600909391
2.5 6.5 0.0005939661027624696
2.5 7.0 0.0003023800313003459
2.5 7.5 0.00015383792044986133
2.5 8.0 7.801064001857642e-5
2.5 8.5 3.930960361359316e-5
2.5 9.0 1.963765066214082e-5
2.5 9.5 9.71084582288489e-6
2.5 10.0 4.748957498856327e-6
3.0 0.0 0.35695874894814433
3.0 0.5 0.33173306584193
3.0 1.0 0.26856801911439265
3.0 1.5 0.19345570947024895
3.0 2.0 0.1268308525959565
3.0 2.5 0.07701505885250073
3.0 3.0 0.04398831496456076
3.0 3.5 0.023993103791522898
3.0 4.0 0.012689218452187106
3.0 4.5 0.006604559533613185
3.0 5.0 0.0034035144398147222
3.0 5.5 0.0017349646651547163
3.0 6.0 0.0008780846604134419
3.0 6.5 0.0004442003089363682
3.0 7.0 0.0002250963733186934
3.0 7.5 0.00011415851049578071
3.0 8.0 5.779933475504526e-5
3.0 8.5 2.9123060890805875e-5
3.0 9.0 1.4571269547492337e-5
3.0 9.5 7.231749621644308e-6
3.0 10.0 3.5583247998882235e-6
3.5 0.0 0.27617422578883083
3.5 0.5 0.2564155314841254
3.5 1.0 0.2071002488524322
3.5 1.5 0.14875431766813021
3.5 2.0 0.09720971274648185
3.5 2.5 0.05885286686923062
3.5 3.0 0.033577726154576784
3.5 3.5 0.018321753845272473
3.5 4.0 0.009675468893438496
3.5 4.5 0.005013738749692328
3.5 5.0 0.002572292753278949
3.5 5.5 0.0013065013707003002
3.5 6.0 0.0006578275912384854
3.5 6.5 0.00033043257176431013
3.5 7.0 0.00016626218193619517
3.5 7.5 8.384425556135079e-5
3.5 8.0 4.229735029493785e-5
3.5 8.5 2.128026666648913e-5
3.5 9.0 1.0655440642114509e-5
3.5 9.5 5.306680185472219e-6
3.5 10.0 2.6280280219533394e-6
4.0 0.0 0.2122084083176776
4.0 0.5 0.19688242931595973
4.0 1.0 0.15870023335800176
4.0 1.5 0.11366645490160335
4.0 2.0 0.07405094548191604
4.0 2.5 0.044745589705079934
4.0 3.0 0.025538932641771074
4.0 3.5 0.013963830832432425
4.0 4.0 0.0073787820021283595
4.0 4.5 0.0038126047382612068
4.0 5.0 0.001947115498394987
4.0 5.5 0.000984582115465645
4.0 6.0 0.0004928567698497407
4.0 6.5 0.00024556077642917163
4.0 7.0 0.0001224589589694505
4.0 7.5 6.126999980748104e-5
4.0 8.0 3.073971220991412e-5
4.0 8.5 1.5424426675727295e-5
4.0 9.0 7.72508770783349e-6
4.0 9.5 3.85977896530341e-6
4.0 10.0 1.9234999160621807e-6
4.5 0.0 0.1622154022231147
4.5 0.5 0.15041848788787995
4.5 1.0 0.12104858640868592
4.5 1.5 0.0864657522594891
4.5 2.0 0.05617724605293802
4.5 2.5 0.03391626570993464
4.5 3.0 0.019390237530708343
4.5 3.5 0.010636127556895582
4.5 4.0 0.005633684547006623
4.5 4.5 0.002907047020457877
4.5 5.0 0.0014783077834974402
4.5 5.5 0.0007439153457831257
4.5 6.0 0.0003701673869848085
4.5 6.5 0.0001828536080617212
4.5 7.0 9.027110538759121e-5
4.5 7.5 4.4732631561922e-5
4.5 8.0 2.2283217328444513e-5
4.5 8.5 1.1140248384339818e-5
4.5 9.0 5.5780549562611255e-6
4.5 9.5 2.7950484485446328e-6
4.5 10.0 1.4008260519541912e-6
5.0 0.0 0.12348795007171119
5.0 0.5 0.11446026018628898
5.0 1.0 0.09198382801488171
5.0 1.5 0.06554443893461225
5.0 2.0 0.042491864282370166
5.0 2.5 0.02565899044618443
5.0 3.0 0.01471034887966812
5.0 3.5 0.008101634776405353
5.0 4.0 0.004306971106202339
5.0 4.5 0.0022227718793363335
5.0 5.0 0.0011261245067730877
5.0 5.5 0.0005638880778449953
5.0 6.0 0.00027899977998264476
5.0 6.5 0.0001366781587848223
5.0 7.0 6.67742353230504e-5
5.0 7.5 3.274180149425647e-5
5.0 8.0 1.6174423487830965e-5
5.0 8.5 8.048821481541167e-6
5.0 9.0 4.026529877524747e-6
5.0 9.5 2.022119684710902e-6
5.0 10.0 1.0182896334266956e-6
5.5 0.0 0.09367961408846386
5.5 0.5 0.08680546096316481
5.5 1.0 0.06968205603178033
5.5 1.5 0.04955188092954653
5.5 2.0 0.03207493321426475
5.5 2.5 0.01939025487496214
5.5 3.0 0.011156688617127465
5.5 3.5 0.006172063914237451
5.5 4.0 0.0032956127581255557
5.5 4.5 0.001703429536884771
5.5 5.0 0.0008604987559128135
5.5 5.5 0.0004287694411375859
5.5 6.0 0.0002110497750427407
5.5 6.5 0.00010264695922018159
5.5 7.0 4.9659598164998666e-5
5.5 7.5 2.409578322035064e-5
5.5 8.0 1.1797050275764355e-5
5.5 8.5 5.8378074444068856e-6
5.5 9.0 2.9150313603328114e-6
5.5 9.5 1.4657389494911427e-6
5.5 10.0 7.407299151969342e-7
6.0 0.0 0.0708483191670373
6.0 0.5 0.06563957116466265
6.0 1.0 0.05265390429352716
6.0 1.5 0.03739050420013794
6.0 2.0 0.02418468075863135
6.0 2.5 0.014645896516478754
6.0 3.0 0.008460007478998808
6.0 3.5 0.00470130341441419
6.0 4.0 0.002521633367138688
6.0 4.5 0.0013069357471104884
6.0 5.0 0.0006591504255693007
6.0 5.5 0.00032698202541224427
6.0 6.0 0.0001602136721317634
6.0 6.5 7.749438652241054e-5
6.0 7.0 3.718587032713961e-5
6.0 7.5 1.787101573798483e-5
6.0 8.0 8.671495577164547e-6
6.0 8.5 4.263733764513993e-6
6.0 9.0 2.1224563226780297e-6
6.0 9.5 1.0670203766296878e-6
6.0 10.0 5.402954262058564e-7
6.5 0.0 0.05342953603948665
6.5 0.5 0.0495033054324815
6.5 1.0 0.03970377577477318
6.5 1.5 0.028178583158063902
6.5 2.0 0.018228414177494632
6.5 2.5 0.011061237566003385
6.5 3.0 0.006412599321575111
6.5 3.5 0.003578137182762438
6.5 4.0 0.0019272704662416779
6.5 4.5 0.0010025257797883324
6.5 5.0 0.0005057195903754562
6.5 5.5 0.0002500548002852114
6.5 6.0 0.00012206741497871839
6.5 6.5 5.883765959394582e-5
6.5 7.0 2.8069730284841505e-5
6.5 7.5 1.3381356796200943e-5
6.5 8.0 6.438229709909584e-6
6.5 8.5 3.1437058796225268e-6
6.5 9.0 1.5579497824046856e-6
6.5 9.5 7.816608692188675e-7
6.5 10.0 3.958043001631188e-7
7.0 0.0 0.04018296844930657
7.0 0.5 0.03723908755131227
7.0 1.0 0.029880643426701284
7.0 1.5 0.02121482730771415
7.0 2.0 0.01373714781868463
7.0 2.5 0.008352553529372649
7.0 3.0 0.004856144296528469
7.0 3.5 0.0027189641693250895
7.0 4.0 0.0014700487834735216
7.0 4.5 0.0007679879921525589
7.0 5.0 0.00038829401965144087
7.0 5.5 0.0001917514823608449
7.0 6.0 9.337854732314325e-5
7.0 6.5 4.493917570912966e-5
7.0 7.0 2.137363648799013e-5
7.0 7.5 1.012765093537659e-5
7.0 8.0 4.835752445971693e-6
7.0 8.5 2.344164165414874e-6
7.0 9.0 1.1550297406618566e-6
7.0 9.5 5.771810959781235e-7
7.0 10.0 2.916086665819138e-7
7.5 0.0 0.030137329256864808
7.5 0.5 0.02794015810547805
7.5 1.0 0.02243940877064293
7.5 1.5 0.015951939030069945
7.5 2.0 0.01034726514145189
7.5 2.5 0.006302461489413061
7.5 3.0 0.003671168620032137
7.5 3.5 0.0020611565506610404
7.5 4.0 0.001118380621935441
7.5 4.5 0.0005871036546008348
7.5 5.0 0.0002981660074307228
7.5 5.5 0.00014744192886396223
7.5 6.0 7.175232978343981e-5
7.5 6.5 3.453192742534091e-5
7.5 7.0 1.6417667096003795e-5
7.5 7.5 7.751179517061512e-6
7.5 8.0 3.6774484154984413e-6
7.5 8.5 1.76966763116722e-6
7.5 9.0 8.65967140479617e-7
7.5 9.5 4.301638335475072e-7
7.5 10.0 2.1634668782506176e-7
8.0 0.0 0.02253937499190273
8.0 0.5 0.02090551929350418
8.0 1.0 0.016809008740564537
8.0 1.5 0.011972841612542237
8.0 2.0 0.0077835695175617154
8.0 2.5 0.004747501193419471
8.0 3.0 0.002768228019743818
8.0 3.5 0.001557692198762463
8.0 4.0 0.0008483462320481064
8.0 4.5 0.00044774821613143196
8.0 5.0 0.00022886214568371174
8.0 5.5 0.00011365036400495226
8.0 6.0 5.539005367049578e-5
8.0 6.5 2.6692834382504584e-5
8.0 7.0 1.2714481933723969e-5
8.0 7.5 5.996947079466483e-6
8.0 8.0 2.8315888322193268e-6
8.0 8.5 1.3530115606192607e-6
8.0 9.0 6.569920678444716e-7
8.0 9.5 3.2390710808510626e-7
8.0 10.0 1.618363980828061e-7
8.5 0.0 0.016808386123590154
8.5 0.5 0.01559741363033083
8.5 1.0 0.012557107266172589
8.5 1.5 0.008964744164544689
8.5 2.0 0.005841505951044588
8.5 2.5 0.0035664507060805786
8.5 3.0 0.0020804927660735503
8.5 3.5 0.0011730419867064432
8.5 4.0 0.0006415466582445967
8.5 4.5 0.00034065021867381865
8.5 5.0 0.00017550656009830966
8.5 5.5 8.775913188433307e-5
8.5 6.0 4.293713295114499e-5
